home_type,state,borough,zip,lot_size,house_area,bedrooms,bathrooms,price
MULTI_FAMILY,NY,Rochester,14621,0.14,2300.0,4.0,2,89900
SINGLE_FAMILY,NY,Rochester,14624,8.61,7083.0,5.0,7,1500000
SINGLE_FAMILY,NY,Rochester,14619,0.1258,1642.0,4.0,2,37000
SINGLE_FAMILY,NY,Rochester,14626,1.16,1796.0,3.0,3,539900
MULTI_FAMILY,NY,Rochester,14609,0.1286,1940.0,3.0,2,65000
SINGLE_FAMILY,NY,Rochester,14611,0.1515,1829.0,4.0,2,49900
SINGLE_FAMILY,NY,Rochester,14624,0.25,2834.0,3.0,2,194500
MULTI_FAMILY,NY,Rochester,14605,0.154,2968.0,8.0,4,219900
SINGLE_FAMILY,NY,Rochester,14621,0.0777,851.0,2.0,1,32500
SINGLE_FAMILY,NY,Rochester,14622,0.23,1600.0,3.0,2,415000
SINGLE_FAMILY,NY,Rochester,14606,0.24,1468.0,4.0,2,24900
MULTI_FAMILY,NY,Rochester,14621,0.213,2114.0,4.0,2,104900
MULTI_FAMILY,NY,Rochester,14608,0.1423,2524.0,6.0,3,69900
SINGLE_FAMILY,NY,Rochester,14616,0.33,1776.0,4.0,2,289900
SINGLE_FAMILY,NY,Rochester,14609,0.1223,1326.0,3.0,1,89995
MULTI_FAMILY,NY,Rochester,14620,0.0722,2300.0,6.0,2,289900
SINGLE_FAMILY,NY,Rochester,14621,0.091,1470.0,3.0,2,38200
SINGLE_FAMILY,NY,Rochester,14619,0.124,2002.0,4.0,2,99900
SINGLE_FAMILY,NY,Rochester,14621,0.0781,852.0,3.0,2,89900
TOWNHOUSE,NY,Rochester,14618,0.22,1593.0,3.0,3,399900
SINGLE_FAMILY,NY,Rochester,14621,0.1,978.0,2.0,1,24800
CONDO,NY,Rochester,14610,0.01,528.0,0.0,1,110500
SINGLE_FAMILY,NY,Rochester,14612,0.1099,1367.0,4.0,2,179900
MULTI_FAMILY,NY,Rochester,14609,0.0918,2286.0,6.0,2,124900
SINGLE_FAMILY,NY,Rochester,14609,0.2392,1346.0,4.0,1,94500
MULTI_FAMILY,NY,Rochester,14613,0.12,1528.0,4.0,2,99900
TOWNHOUSE,NY,Rochester,14610,0.04,945.0,2.0,1,129900
SINGLE_FAMILY,NY,Rochester,14611,0.1147,1578.0,4.0,2,59900
SINGLE_FAMILY,NY,Rochester,14605,0.23,11682.0,8.0,5,189900
SINGLE_FAMILY,NY,Rochester,14621,0.07,1144.0,3.0,1,39000
SINGLE_FAMILY,NY,Rochester,14626,0.4798,1752.0,3.0,2,399900
SINGLE_FAMILY,NY,Rochester,14621,0.0844,1509.0,5.0,1,52500
MULTI_FAMILY,NY,Rochester,14611,0.09,2480.0,4.0,2,80000
SINGLE_FAMILY,NY,Rochester,14621,0.1011,1558.0,4.0,1,104900
SINGLE_FAMILY,NY,Rochester,14626,3.2,1228.0,3.0,1,189900
MULTI_FAMILY,NY,Rochester,14605,0.11,1928.0,4.0,2,70000
SINGLE_FAMILY,NY,Rochester,14621,0.08,1821.0,6.0,1,74900
CONDO,NY,Rochester,14610,0.06,1338.0,2.0,2,239900
SINGLE_FAMILY,NY,Rochester,14606,0.1069,1242.0,3.0,1,64900
SINGLE_FAMILY,NY,Rochester,14609,0.12,1228.0,3.0,2,70000
MULTI_FAMILY,NY,Rochester,14613,0.1132,6384.0,10.0,4,28000
TOWNHOUSE,NY,Rochester,14618,0.24,1593.0,3.0,3,399900
MULTI_FAMILY,NY,Rochester,14609,0.0783,1486.0,3.0,2,64900
MULTI_FAMILY,NY,Rochester,14611,0.1384,1911.0,4.0,2,59900
CONDO,NY,Rochester,14615,0.0982,1132.0,3.0,2,115000
SINGLE_FAMILY,NY,Rochester,14626,0.4798,1752.0,3.0,2,399900
MULTI_FAMILY,NY,Rochester,14611,0.1384,1911.0,4.0,2,59900
SINGLE_FAMILY,NY,Rochester,14609,0.1247,1943.0,3.0,2,66600
MULTI_FAMILY,NY,Rochester,14619,0.0924,2381.0,6.0,2,119900
MULTI_FAMILY,NY,Rochester,14621,0.213,2114.0,4.0,2,104900
SINGLE_FAMILY,NY,Rochester,14623,0.678,3400.0,5.0,1,350000
SINGLE_FAMILY,NY,Rochester,14621,0.08,1821.0,6.0,1,74900
MULTI_FAMILY,NY,Rochester,14605,0.11,1928.0,4.0,2,70000
SINGLE_FAMILY,NY,Rochester,14621,0.0673,1148.0,1.0,4,59900
MULTI_FAMILY,NY,Rochester,14611,0.09,2480.0,4.0,2,80000
SINGLE_FAMILY,NY,Rochester,14613,0.23,3290.0,0.0,0,299000
SINGLE_FAMILY,NY,Rochester,14609,0.12,1228.0,3.0,2,70000
SINGLE_FAMILY,NY,Rochester,14605,0.076,1762.0,4.0,2,69000
MULTI_FAMILY,NY,Rochester,14609,0.0976,1700.0,3.0,2,119900
SINGLE_FAMILY,NY,Rochester,14621,0.1446,1728.0,2.0,2,299900
SINGLE_FAMILY,NY,Rochester,14611,0.1147,1578.0,4.0,2,59900
SINGLE_FAMILY,NY,Rochester,14621,0.12,1715.0,4.0,2,49900
TOWNHOUSE,NY,Rochester,14624,0.1148,1449.0,3.0,2,269900
MULTI_FAMILY,NY,Rochester,14615,0.1185,2053.0,3.0,3,134900
MULTI_FAMILY,NY,Rochester,14609,0.0783,1486.0,3.0,2,64900
SINGLE_FAMILY,NY,Rochester,14615,0.1733,820.0,1.0,1,117700
SINGLE_FAMILY,NY,Rochester,14606,0.0916,1597.0,4.0,2,59900
SINGLE_FAMILY,NY,Rochester,14609,0.3601,1493.0,4.0,1,89900
SINGLE_FAMILY,NY,Rochester,14621,0.0741,1548.0,4.0,1,119900
MULTI_FAMILY,NY,Rochester,14613,0.124,1495.0,3.0,2,82500
MULTI_FAMILY,NY,Rochester,14613,0.1132,6384.0,10.0,4,28000
SINGLE_FAMILY,NY,Rochester,14608,0.1028,1269.0,3.0,1,250000
SINGLE_FAMILY,NY,Rochester,14621,0.0595,1386.0,4.0,1,74900
SINGLE_FAMILY,NY,Rochester,14621,0.07,1144.0,3.0,1,39000
MULTI_FAMILY,NY,Rochester,14609,0.1295,2384.0,4.0,2,84900
MULTI_FAMILY,NY,Rochester,14609,0.12,2212.0,5.0,2,99900
SINGLE_FAMILY,NY,Rochester,14606,0.1399,1744.0,5.0,2,53000
MULTI_FAMILY,NY,Rochester,14621,0.11,2378.0,6.0,2,109900
SINGLE_FAMILY,NY,Rochester,14605,0.18,1180.0,3.0,1,30000
TOWNHOUSE,NY,Rochester,14624,0.0,1449.0,3.0,2,340000
SINGLE_FAMILY,NY,Rochester,14606,0.1034,1522.0,3.0,2,19900
MULTI_FAMILY,NY,Rochester,14611,0.16,1748.0,4.0,2,53000
SINGLE_FAMILY,NY,Rochester,14608,0.1037,1129.0,3.0,1,69900
MULTI_FAMILY,NY,Rochester,14613,0.1059,2568.0,5.0,2,64900
SINGLE_FAMILY,NY,Rochester,14605,0.1102,1289.0,4.0,1,59900
MULTI_FAMILY,NY,Rochester,14613,0.1059,2568.0,5.0,2,64900
SINGLE_FAMILY,NY,Rochester,14608,0.1616,1676.0,4.0,2,68900
SINGLE_FAMILY,NY,Rochester,14606,0.1643,5100.0,4.0,2,330900
MULTI_FAMILY,NY,Rochester,14621,0.1493,2340.0,4.0,2,84900
SINGLE_FAMILY,NY,Rochester,14621,0.12,1715.0,4.0,2,49900
SINGLE_FAMILY,NY,Rochester,14621,0.07,1326.0,3.0,2,29900
SINGLE_FAMILY,NY,Rochester,14613,0.23,3290.0,0.0,0,299000
SINGLE_FAMILY,NY,Rochester,14615,0.1733,820.0,1.0,1,117700
SINGLE_FAMILY,NY,Rochester,14605,0.18,1180.0,3.0,1,30000
MULTI_FAMILY,NY,Rochester,14621,0.21,1820.0,6.0,3,79900
SINGLE_FAMILY,NY,Rochester,14609,0.14,1512.0,3.0,1,74900
TOWNHOUSE,NY,Rochester,14624,0.0,1449.0,3.0,2,340000
SINGLE_FAMILY,NY,Rochester,14606,0.0916,1597.0,4.0,2,59900
SINGLE_FAMILY,NY,Rochester,14609,0.0681,1147.0,3.0,2,64900
MULTI_FAMILY,NY,Rochester,14619,0.0969,1284.0,3.0,2,89900
MULTI_FAMILY,NY,Rochester,14608,0.0826,2842.0,6.0,2,79900
SINGLE_FAMILY,NY,Rochester,14606,0.26,1632.0,0.0,0,59901
SINGLE_FAMILY,NY,Rochester,14606,0.1205,1148.0,3.0,2,69999
