home_type,state,borough,zip,lot_size,house_area,bedrooms,bathrooms,price
TOWNHOUSE,CT,Enfield,6082,,1292.0,2.0,2.0,189000
CONDO,CT,East Haven,6513,,1066.0,2.0,2.0,148500
CONDO,CT,East Haven,6512,,1024.0,2.0,2.0,179900
CONDO,CT,Middletown,6457,,1028.0,2.0,2.0,195000
CONDO,CT,Bridgeport,6610,,720.0,2.0,1.0,165000
CONDO,CT,New Haven,6511,,1014.0,2.0,2.0,124900
SINGLE_FAMILY,CT,New Haven,6513,0.03,1186.0,3.0,2.0,174900
CONDO,CT,Norwich,6360,,1171.0,2.0,2.0,189900
CONDO,CT,Southbury,6488,,1032.0,2.0,2.0,165000
MULTI_FAMILY,CT,Canaan,6018,0.47,2688.0,3.0,2.0,189000
SINGLE_FAMILY,CT,Thomaston,6787,0.22,1374.0,4.0,2.0,173000
CONDO,CT,Waterbury,6705,,1152.0,2.0,2.0,164900
SINGLE_FAMILY,CT,New London,6320,0.03,1119.0,3.0,2.0,195000
CONDO,CT,Granby,6035,,1052.0,2.0,2.0,199500
CONDO,CT,Bristol,6010,,784.0,2.0,1.0,129900
CONDO,CT,Branford,6405,,710.0,1.0,1.0,199999
SINGLE_FAMILY,CT,Meriden,6451,0.26,2458.0,3.0,2.0,199900
SINGLE_FAMILY,CT,New Haven,6519,0.09,1213.0,4.0,1.0,160000
CONDO,CT,South Windsor,6074,,678.0,1.0,1.0,100000
SINGLE_FAMILY,CT,Stafford Springs,6076,0.16,1658.0,3.0,2.0,165000
SINGLE_FAMILY,CT,Norwich,6360,0.18,912.0,2.0,1.0,185000
SINGLE_FAMILY,CT,Call Listing Agent,6615,,1366.0,3.0,2.0,180000
SINGLE_FAMILY,CT,New Hartford,6057,0.36,1536.0,3.0,2.0,189000
CONDO,CT,Rocky Hill,6067,,938.0,2.0,2.0,179900
MULTI_FAMILY,CT,Plainfield,6374,0.19,2522.0,8.0,2.0,185000
SINGLE_FAMILY,CT,Simsbury,6070,0.34,864.0,2.0,1.0,199900
SINGLE_FAMILY,CT,Ledyard,6339,0.65,708.0,2.0,1.0,149900
CONDO,CT,Granby,6035,,1052.0,2.0,2.0,199500
CONDO,CT,New Haven,6513,,1212.0,2.0,2.0,105000
MULTI_FAMILY,CT,Hartford,6106,0.12,1890.0,,0.0,189000
CONDO,CT,Bristol,6010,,1018.0,2.0,2.0,124000
CONDO,CT,Wallingford,6492,,1026.0,2.0,2.0,185000
SINGLE_FAMILY,CT,Lyme,6371,8.5,200.0,1.0,1.0,163000
SINGLE_FAMILY,CT,Waterbury,6705,0.15,1229.0,2.0,2.0,180000
CONDO,CT,Stratford,6614,,840.0,2.0,1.0,129900
SINGLE_FAMILY,CT,Waterbury,6704,0.18,840.0,3.0,1.0,159999
SINGLE_FAMILY,CT,Waterbury,6706,0.46,1162.0,2.0,1.0,199999
CONDO,CT,Middletown,6457,,860.0,2.0,2.0,169500
SINGLE_FAMILY,CT,Waterbury,6706,0.11,1168.0,3.0,1.0,161500
CONDO,CT,Shelton,6484,,822.0,2.0,1.0,164900
SINGLE_FAMILY,CT,Thomaston,6787,0.22,1374.0,4.0,2.0,173000
CONDO,CT,Manchester,6040,,785.0,2.0,1.0,119900
CONDO,CT,New Haven,6513,,1032.0,2.0,2.0,125000
SINGLE_FAMILY,CT,Coventry,6238,0.2,592.0,1.0,1.0,185000
SINGLE_FAMILY,CT,Norwich,6360,0.13,874.0,2.0,1.0,185000
CONDO,CT,East Haven,6513,,1366.0,2.0,2.0,175000
TOWNHOUSE,CT,Naugatuck,6770,,1008.0,2.0,2.0,146630
CONDO,CT,Hartford,6112,,1210.0,3.0,2.0,110000
SINGLE_FAMILY,CT,Yantic,6389,0.13,2116.0,5.0,2.0,144900
CONDO,CT,Torrington,6790,,1050.0,2.0,2.0,185000
SINGLE_FAMILY,CT,Waterbury,6704,0.2,1728.0,3.0,2.0,199900
SINGLE_FAMILY,CT,Branford,6405,0.7,888.0,2.0,1.0,198550
CONDO,CT,New Haven,6511,,1014.0,2.0,2.0,124900
SINGLE_FAMILY,CT,Waterbury,6706,0.14,864.0,3.0,1.0,179900
CONDO,CT,Hartford,6114,,1260.0,2.0,2.0,125000
SINGLE_FAMILY,CT,Hartford,6106,0.16,1418.0,3.0,2.0,199990
SINGLE_FAMILY,CT,Eastford,6242,0.75,696.0,1.0,1.0,129000
CONDO,CT,Bridgeport,6604,,911.0,1.0,1.0,139900
SINGLE_FAMILY,CT,Norwich,6360,0.13,874.0,2.0,1.0,185000
CONDO,CT,New Haven,6511,,1290.0,3.0,2.0,199999
SINGLE_FAMILY,CT,East Hartford,6118,0.57,727.0,2.0,1.0,120000
SINGLE_FAMILY,CT,Waterbury,6706,0.11,1168.0,3.0,1.0,161500
CONDO,CT,Uncasville,6382,,1728.0,2.0,2.0,149900
SINGLE_FAMILY,CT,Enfield,6082,0.28,1170.0,3.0,1.0,175010
