zipcode,city,state,county,population,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,pending_listing_count,median_listing_price_per_square_foot,median_square_feet,average_listing_price,total_listing_count,crime_count,crime_rate
1254,Richmond,MA,Berkshire,2916,992500,6,65,2,0,0,,300,3990,1340650,6,,
1255,Sandisfield,MA,Berkshire,2745,,,,,,,,,,,,,
1256,Savoy,MA,Berkshire,2076,572450,2,112,0,0,0,1,179,2907,572450,3,,
1257,Sheffield,MA,Berkshire,6363,791000,5,131,4,0,0,3,274,2744,2209667,8,,
1258,South Egremont,MA,Berkshire,1122,,,,,,,,,,,,,
1259,Southfield,MA,Berkshire,1905,,,,,,,,,,,,,
1260,South Lee,MA,Berkshire,720,,,,,,,,,,,,,
1262,Stockbridge,MA,Berkshire,3714,,,,,,,,,,,,,
1263,Stockbridge,MA,Berkshire,,,,,,,,,,,,,,
1264,Tyringham,MA,Berkshire,411,750000,1,14,2,0,0,,473,1584,750000,1,,
1266,West Stockbridge,MA,Berkshire,4389,1422500,6,200,2,0,0,3,469,2099,2134164,9,,
1267,Williamstown,MA,Berkshire,23967,,,,,,,,,,,,,
1270,Windsor,MA,Berkshire,2334,425000,0,45,0,0,0,2,253,1680,425000,2,,
1301,Greenfield,MA,Franklin,53100,307125,10,131,8,0,0,2,218,1328,329264,11,,
1302,Greenfield,MA,Franklin,,,,,,,,,,,,,,
1330,Ashfield,MA,Franklin,4518,1100000,1,291,0,0,0,1,45,24200,1100000,1,,
1331,Athol,MA,Worcester,39789,,,,,,,,,,,,,
1337,Bernardston,MA,Franklin,7788,369500,1,49,0,0,0,1,219,1981,369500,1,,
1338,Buckland,MA,Franklin,561,,,,,,,,,,,,,
1339,Charlemont,MA,Franklin,4314,,,,,,,,,,,,,
1340,Colrain,MA,Franklin,5103,89900,2,77,2,0,0,1,45,2690,89900,3,,
1341,Conway,MA,Franklin,5499,309500,1,69,0,0,0,1,110,4276,309500,2,,
1342,Deerfield,MA,Franklin,4476,,,,,,,,,,,,,
1343,Drury,MA,Berkshire,225,,,,,,,,,,,,,
1344,Erving,MA,Franklin,4494,119900,1,134,2,0,0,1,76,1572,119900,2,,
1346,Heath,MA,Franklin,1599,700000,1,209,0,0,0,,156,4500,700000,1,,
1347,Lake Pleasant,MA,Franklin,498,,,,,,,,,,,,,
1349,Millers Falls,MA,Franklin,3273,,,,,,,,,,,,,
1350,Monroe Bridge,MA,Franklin,363,,,,,,,,,,,,,
1351,Montague,MA,Franklin,6810,,,,,,,,,,,,,
1354,Gill,MA,Franklin,4500,239000,1,41,0,0,0,,182,1313,239000,1,,
1355,New Salem,MA,Franklin,2634,,,,,,,,,,,,,
1360,Northfield,MA,Franklin,9096,225425,3,65,0,0,0,1,107,1969,244108,3,,
1364,Orange,MA,Franklin,23907,287450,8,20,10,0,0,2,176,1784,279600,10,,
1366,Petersham,MA,Worcester,3831,,,,,,,,,,,,,
1367,Rowe,MA,Franklin,1566,,,,,,,,,,,,,
1368,Royalston,MA,Worcester,3783,254450,4,138,0,0,0,1,127,1978,251575,5,,
1370,Shelburne Falls,MA,Franklin,12252,,,,,,,,,,,,,
1373,South Deerfield,MA,Franklin,13800,,,,,,,,,,,,,
1375,Sunderland,MA,Franklin,11052,707000,2,234,0,0,0,,238,3345,707000,2,,
1376,Turners Falls,MA,Franklin,15741,235425,2,16,2,0,0,2,157,1324,235425,3,,
1378,Warwick,MA,Franklin,2322,,,,,,,,,,,,,
1379,Wendell,MA,Franklin,2439,,,,,,,,,,,,,
1380,Wendell Depot,MA,Franklin,,,,,,,,,,,,,,
1420,Fitchburg,MA,Worcester,121011,,,,,,,,,,,,,
1430,Ashburnham,MA,Worcester,18267,579900,7,81,2,0,0,2,277,2104,560771,10,,
1431,Ashby,MA,Middlesex,9222,524900,2,96,2,0,0,2,213,2948,844350,3,,
1432,Ayer,MA,Middlesex,21267,589900,6,14,12,0,0,2,306,1967,596780,8,,
1434,Devens,MA,Worcester,5385,,,,,,,,,,,,,
1436,Baldwinville,MA,Worcester,10008,,,,,,,,,,,,,
1438,East Templeton,MA,Worcester,1677,,,,,,,,,,,,,
1440,Gardner,MA,Worcester,61041,315813,11,33,14,0,0,3,221,1313,336912,14,,
1441,Westminster,MA,Worcester,,,,,,,,,,,,,,
1450,Groton,MA,Middlesex,31938,911750,17,64,18,0,0,4,341,2975,1030868,21,,
1451,Harvard,MA,Worcester,14241,,,,,,,,,,,,,
1452,Hubbardston,MA,Worcester,13146,527400,2,149,0,0,0,1,282,1877,527400,3,,
1453,Leominster,MA,Worcester,122649,372175,17,22,20,0,4,7,254,1299,408368,23,,
1460,Littleton,MA,Middlesex,26772,,,,,,,,,,,,,
1462,Lunenburg,MA,Worcester,30258,,,,,,,,,,,,,
1463,Pepperell,MA,Middlesex,34491,,,,,,,,,,,,,
1464,Shirley,MA,Middlesex,21633,,,,,,,,,,,,,
1467,Still River,MA,Worcester,948,,,,,,,,,,,,,
1468,Templeton,MA,Worcester,12063,481225,13,32,10,0,0,2,250,1932,460008,15,,
1469,Townsend,MA,Middlesex,20403,409950,3,48,2,0,0,2,189,2171,452983,5,,
1470,Groton,MA,Middlesex,,,,,,,,,,,,,,
1471,Groton,MA,Middlesex,,,,,,,,,,,,,,
1472,West Groton,MA,Middlesex,,,,,,,,,,,,,,
1473,Westminster,MA,Worcester,21831,,,,,,,,,,,,,
1474,West Townsend,MA,Middlesex,6375,774450,2,18,0,0,0,1,299,2881,774450,2,,
1475,Winchendon,MA,Worcester,30810,,,,,,,,,,,,,
1501,Auburn,MA,Worcester,48225,,,,,,,,,,,,,
1503,Berlin,MA,Worcester,8598,680000,8,173,8,0,0,2,317,2086,650123,9,,
1504,Blackstone,MA,Worcester,27078,571950,4,40,0,0,0,3,298,1963,640350,7,,
1505,Boylston,MA,Worcester,13065,,,,,,,,,,,,,
1506,Brookfield,MA,Worcester,10170,428675,6,31,4,0,4,1,229,2348,488885,7,,
1507,Charlton,MA,Worcester,38943,566150,13,63,6,0,0,3,280,2044,533121,15,,
1508,Charlton City,MA,Worcester,,,,,,,,,,,,,,
1509,Charlton Depot,MA,Worcester,,,,,,,,,,,,,,
1510,Clinton,MA,Worcester,40818,,,,,,,,,,,,,
1515,East Brookfield,MA,Worcester,6549,409900,2,148,0,0,0,1,389,1207,409900,3,,
1516,Douglas,MA,Worcester,25500,524900,6,106,6,0,0,2,293,1747,518781,8,,
1518,Fiskdale,MA,Worcester,8922,,,,,,,,,,,,,
1519,Grafton,MA,Worcester,19785,654475,4,17,8,0,2,3,283,1884,642396,8,,
1520,Holden,MA,Worcester,41991,703650,16,37,12,0,0,4,280,2741,725216,19,,
1521,Holland,MA,Hampden,7443,424700,4,15,8,0,2,2,291,1310,401552,5,,
1522,Jefferson,MA,Worcester,9930,,,,,,,,,,,,,
1523,Lancaster,MA,Worcester,22746,,,,,,,,,,,,,
1524,Leicester,MA,Worcester,20088,349950,2,19,4,0,2,1,215,1613,336192,4,,
1525,Linwood,MA,Worcester,870,,,,,,,,,,,,,
1526,Manchaug,MA,Worcester,,,,,,,,,,,,,,
1527,Millbury,MA,Worcester,39738,511150,16,33,20,0,2,6,270,1838,519808,22,,
1529,Millville,MA,Worcester,9570,463450,1,6,2,0,0,1,187,2279,463450,1,,
1531,New Braintree,MA,Worcester,2997,,,,,,,,,,,,,
1532,Northborough,MA,Worcester,42465,718500,3,4,10,0,0,4,316,2478,787888,6,,
1534,Northbridge,MA,Worcester,16893,,,,,,,,,,,,,
1535,North Brookfield,MA,Worcester,14040,,,,,,,,,,,,,
1536,North Grafton,MA,Worcester,20664,988258,9,24,8,0,0,2,324,3168,963006,11,,
1537,North Oxford,MA,Worcester,6744,248000,2,103,0,0,0,1,240,1085,248000,3,,
1538,North Uxbridge,MA,Worcester,,,,,,,,,,,,,,
1540,Oxford,MA,Worcester,33873,452400,6,38,6,0,0,2,228,2129,490863,7,,
1541,Princeton,MA,Worcester,10239,922450,4,106,0,0,0,1,281,3949,1029950,5,,
1542,Rochdale,MA,Worcester,6606,,,,,,,,,,,,,
1543,Rutland,MA,Worcester,23919,,,,,,,,,,,,,
1545,Shrewsbury,MA,Worcester,105897,728000,16,32,28,0,0,6,307,2567,888333,22,,
1546,Shrewsbury,MA,Worcester,,,,,,,,,,,,,,
1550,Southbridge,MA,Worcester,50157,,,,,,,,,,,,,
1560,South Grafton,MA,Worcester,13581,,,,,,,,,,,,,
1561,South Lancaster,MA,Worcester,990,,,,,,,,,,,,,
1562,Spencer,MA,Worcester,35064,,,,,,,,,,,,,
1564,Sterling,MA,Worcester,23424,703725,9,119,6,0,0,2,302,3100,747852,10,,
1566,Sturbridge,MA,Worcester,18882,,,,,,,,,,,,,
1568,Upton,MA,Worcester,22440,719900,14,63,10,0,2,3,337,2141,721589,16,,
1569,Uxbridge,MA,Worcester,40707,514175,13,27,12,0,0,6,274,1593,481024,19,,
1570,Webster,MA,Worcester,50301,589725,9,13,10,0,4,5,232,1921,607466,13,,
1571,Dudley,MA,Worcester,34170,519650,14,25,14,4,0,3,264,1826,514626,17,,
1581,Westborough,MA,Worcester,54816,587190,16,16,24,0,4,4,352,1578,689601,20,,
1583,West Boylston,MA,Worcester,22773,430000,3,68,0,0,0,1,214,2121,505254,3,,
1585,West Brookfield,MA,Worcester,13662,452475,4,35,4,0,2,1,185,2180,446430,5,,
1586,West Millbury,MA,Worcester,,,,,,,,,,,,,,
1588,Whitinsville,MA,Worcester,29199,,,,,,,,,,,,,
1590,Sutton,MA,Worcester,26625,747425,11,40,4,2,2,2,302,2259,734566,13,,
1601,Worcester,MA,Worcester,,,,,,,,,,,,,,
1602,Worcester,MA,Worcester,68457,398225,9,7,20,0,2,3,228,1652,495238,10,,
1603,Worcester,MA,Worcester,59748,344450,3,17,4,0,2,2,253,1508,382075,4,,
1604,Worcester,MA,Worcester,104031,433675,8,19,14,0,0,2,274,1738,449741,10,,
1605,Worcester,MA,Worcester,78663,,,,,,,,,,,,,
1606,Worcester,MA,Worcester,57231,395475,6,5,16,0,0,4,261,1547,393867,9,,
1607,Worcester,MA,Worcester,25053,,,,,,,,,,,,,
1608,Worcester,MA,Worcester,11664,120000,1,1,2,0,0,1,381,315,120000,1,,
1609,Worcester,MA,Worcester,67263,466225,6,10,6,0,2,2,274,1629,849583,7,,
1610,Worcester,MA,Worcester,71835,316250,3,16,2,0,0,2,218,1187,286654,3,,
1611,Cherry Valley,MA,Worcester,6726,307500,2,15,4,0,0,1,192,1706,307500,2,,
1612,Paxton,MA,Worcester,14535,,,,,,,,,,,,,
1613,Worcester,MA,Worcester,,,,,,,,,,,,,,
1614,Worcester,MA,Worcester,,,,,,,,,,,,,,
1615,Worcester,MA,Worcester,,,,,,,,,,,,,,
1653,Worcester,MA,Worcester,,,,,,,,,,,,,,
1655,Worcester,MA,Worcester,,,,,,,,,,,,,,
1701,Framingham,MA,Middlesex,93651,669975,13,9,24,0,0,4,383,1612,730668,16,,
1702,Framingham,MA,Middlesex,111618,724948,4,14,8,0,0,3,367,1800,731103,6,,
1703,Framingham,MA,Middlesex,,,,,,,,,,,,,,
1704,Framingham,MA,Middlesex,,,,,,,,,,,,,,
1705,Framingham,MA,Middlesex,,,,,,,,,,,,,,
1718,Acton,MA,Middlesex,1407,,,,,,,,,,,,,
1719,Boxborough,MA,Middlesex,14988,899995,12,108,10,0,0,3,336,2664,760232,15,,
1720,Acton,MA,Middlesex,64083,738750,9,7,16,0,0,5,353,2270,806425,13,,
