home_type,state,borough,zip,lot_size,house_area,bedrooms,bathrooms,price
SINGLE_FAMILY,NY,Jamaica,11419,,1328.0,3,1.0,3000
SINGLE_FAMILY,NY,Flushing,11365,,1300.0,3,1.0,2600
SINGLE_FAMILY,NY,Jamaica,11434,,1300.0,3,1.5,3900
SINGLE_FAMILY,NY,Springfield Gardens,11413,,,3,1.0,2600
SINGLE_FAMILY,NY,Whitestone,11357,,4000.0,3,2.0,4000
SINGLE_FAMILY,NY,Flushing,11358,,,3,2.5,4000
TOWNHOUSE,NY,Bayside,11361,,998.0,3,1.0,2800
SINGLE_FAMILY,NY,Jamaica,11428,,450.0,2,1.0,1600
TOWNHOUSE,NY,Flushing,11367,,1200.0,3,2.0,2650
SINGLE_FAMILY,NY,Flushing,11358,,1800.0,2,1.0,2500
SINGLE_FAMILY,NY,Jamaica,11435,,,2,1.0,1850
SINGLE_FAMILY,NY,Oaks,11004,,1000.0,1,1.0,1600
SINGLE_FAMILY,NY,Flushing,11364,,1686.0,3,1.5,4700
SINGLE_FAMILY,NY,Flushing,11358,,2000.0,3,3.0,4000
TOWNHOUSE,NY,College Pt,11356,,800.0,2,1.0,1700
SINGLE_FAMILY,NY,Hollis,11423,,,2,1.0,1700
SINGLE_FAMILY,NY,Ozone Park,11417,,1100.0,3,1.0,2500
SINGLE_FAMILY,NY,Jamaica,11417,,900.0,2,1.0,1800
SINGLE_FAMILY,NY,Bayside,11360,,1500.0,2,1.0,2950
SINGLE_FAMILY,NY,Jamaica,11433,,,3,1.0,3200
SINGLE_FAMILY,NY,East Elmhurst,11369,,,0,1.0,1200
SINGLE_FAMILY,NY,Hollis,11423,,,3,2.0,3200
SINGLE_FAMILY,NY,Flushing,11358,,3500.0,3,2.0,3900
SINGLE_FAMILY,NY,Jamaica,11433,,,6,2.0,4500
SINGLE_FAMILY,NY,Jamaica,11421,,1200.0,4,3.0,3500
SINGLE_FAMILY,NY,Far Rockaway,11691,,2909.0,1,1.0,1300
TOWNHOUSE,NY,Oakland Gardens,11364,,1000.0,2,1.0,2100
TOWNHOUSE,NY,Jamaica,11433,,,3,1.0,2400
SINGLE_FAMILY,NY,Flushing,11354,,550.0,1,1.0,1700
SINGLE_FAMILY,NY,Glendale,11385,,2288.0,1,1.0,1250
SINGLE_FAMILY,NY,South Richmond Hill,11419,,,1,1.0,2800
TOWNHOUSE,NY,Little Neck,11362,,,2,2.0,2800
TOWNHOUSE,NY,Jamaica,11434,,2650.0,4,2.0,3600
TOWNHOUSE,NY,Maspeth,11378,,,3,1.5,2800
SINGLE_FAMILY,NY,Jamaica,11423,,,0,0.0,5800
TOWNHOUSE,NY,Whitestone,11357,,850.0,2,1.0,1900
SINGLE_FAMILY,NY,Jamaica,11433,,,4,1.0,3000
SINGLE_FAMILY,NY,Glendale,11385,,,3,1.0,3400
SINGLE_FAMILY,NY,Jamaica,11432,,,4,2.5,4500
SINGLE_FAMILY,NY,Flushing,11369,,1573.0,3,2.0,3750
TOWNHOUSE,NY,Hollis,11423,,2750.0,3,1.0,2800
SINGLE_FAMILY,NY,Jamaica,11436,,2600.0,3,1.5,2800
TOWNHOUSE,NY,Flushing,11355,,816.0,2,1.0,2150
SINGLE_FAMILY,NY,Richmond Hill,11418,,1800.0,4,1.0,2700
SINGLE_FAMILY,NY,Flushing,11361,,800.0,1,1.0,2100
SINGLE_FAMILY,NY,Rosedale,11422,,950.0,3,1.0,3150
SINGLE_FAMILY,NY,Fresh Meadows,11365,,1400.0,3,2.0,5000
SINGLE_FAMILY,NY,Fresh Meadows,11366,,2400.0,4,3.0,4800
SINGLE_FAMILY,NY,Flushing,11378,,,0,1.0,1700
SINGLE_FAMILY,NY,Jamaica,11411,,1200.0,3,1.0,2500
SINGLE_FAMILY,NY,Springfield Gardens,11413,,7600.0,8,1.0,6500
